zeta,alpha,qm_energy,energy_rel
15,0,-1142.544098264,20.165436578799888
15,15,-1142.546256555,18.811089551751824
15,30,-1142.551032362,15.814227676996822
15,45,-1142.557056901,12.033775233640112
15,60,-1142.561578605,9.196365278224926
15,75,-1142.563817343,7.791537034608029
15,90,-1142.56631511,6.224165762190862
15,105,-1142.567260325,5.631034842754887
15,120,-1142.56659189,6.050483821219853
15,135,-1142.565283235,6.87167661161645
15,150,-1142.566102979,6.357279873806084
15,165,-1142.567615191,5.408353233990768
15,180,-1142.567329731,5.587481953122244
15,195,-1142.56782238,5.278340271731145
15,210,-1142.568052719,5.1338004762259715
15,225,-1142.569574202,4.179056200358147
15,240,-1142.570061562,3.8732334140684443
15,255,-1142.568055954,5.131770484534413
15,270,-1142.565339386,6.836441353706799
15,285,-1142.562086152,8.877874967883438
15,300,-1142.556151529,12.601904311866656
15,315,-1142.552888129,14.649717182561282
15,330,-1142.547136251,18.25907239443534
15,345,-1142.543278383,20.679919285290175
30,0,-1142.548311414,17.521647035486673
30,15,-1142.551183608,15.719319450728381
30,30,-1142.556279133,12.521831653431072
30,45,-1142.561330268,9.352198980839532
30,60,-1142.564315788,7.478758311135451
30,75,-1142.568674938,4.743352453768186
30,90,-1142.56888456,4.611812762134608
30,105,-1142.569322557,4.336965702622232
30,120,-1142.568286116,4.987341758089071
30,135,-1142.567919995,5.21708598072203
30,150,-1142.567977923,5.180735639412153
30,165,-1142.570592231,3.540233840547594
30,180,-1142.569829679,4.018742083638958
30,195,-1142.570232097,3.766221166863467
30,210,-1142.57037423,3.6770314301326157
30,225,-1142.571900762,2.719118861300187
30,240,-1142.572350116,2.4371451821071424
30,255,-1142.570344414,3.6957412385087074
30,270,-1142.567360764,5.5680084663793314
30,285,-1142.563288075,8.123657468043001
30,300,-1142.557538278,11.73170683365804
30,315,-1142.554820197,13.437327123894448
30,330,-1142.549246221,16.935047229710204
30,345,-1142.546815925,18.460079842409872
45,0,-1142.552775812,14.720197110916041
45,15,-1142.556457477,12.409919188331695
45,30,-1142.561459855,9.270881971947302
45,45,-1142.564918318,7.100665313270639
45,60,-1142.570120869,3.8360177378673734
45,75,-1142.571440704,3.0078093968499404
45,90,-1142.572352055,2.4359284421825422
45,105,-1142.571011595,3.2770791562833814
45,120,-1142.571085063,3.2309773250824803
45,135,-1142.571534434,2.9489929783492506
45,150,-1142.572718943,2.2057029202427523
45,165,-1142.571373602,3.0499165057696382
45,180,-1142.571931393,2.6998976330757616
45,195,-1142.572134384,2.5725189537046322
45,210,-1142.572237531,2.5077932829502387
45,225,-1142.573748227,1.559817946706038
45,240,-1142.570926895,3.3302291686560754
45,255,-1142.57092898,3.3289208123876013
45,270,-1142.569216953,4.40323316309267
45,285,-1142.565220587,6.910988795330362
45,300,-1142.560150927,10.092246072344055
45,315,-1142.557214016,11.935184157046914
45,330,-1142.552828671,14.687027612618046
45,345,-1142.551949008,15.239024062071167
60,0,-1142.55983618,10.289752647534176
60,15,-1142.563195675,8.181639299553684
60,30,-1142.565022648,7.035197299372475
60,45,-1142.570187558,3.7941697901348435
60,60,-1142.572909224,2.086299880096667
60,75,-1142.573400664,1.7779168571961568
60,90,-1142.573967129,1.4224549714986763
60,105,-1142.573088761,1.9736387968298812
60,120,-1142.573149443,1.9355602957470712
60,135,-1142.573028034,2.011745535947101
60,150,-1142.572821551,2.1413154766867653
60,165,-1142.573024771,2.013793097704847
60,180,-1142.573405608,1.774814452693151
60,195,-1142.573592237,1.6577030755779265
60,210,-1142.573607581,1.648074577434326
60,225,-1142.572283124,2.4791832650534227
60,240,-1142.572508675,2.337647982541063
60,255,-1142.571987156,2.6649058487941826
60,270,-1142.570002366,3.9103794369364127
60,285,-1142.566595901,6.047966882557509
60,300,-1142.564432483,7.405531148325274
60,315,-1142.559837781,10.288748005691417
60,330,-1142.558037504,11.418438025702855
60,345,-1142.557823839,11.55251473607442
75,0,-1142.564159569,7.576787139618128
75,15,-1142.565195917,6.926469442441841
75,30,-1142.567692017,5.360144227594161
75,45,-1142.570972568,3.301568950142115
75,60,-1142.573265005,1.8630441006771148
75,75,-1142.57382516,1.5115417967004254
75,90,-1142.573674897,1.605833181581976
75,105,-1142.573455399,1.7435701520505205
75,120,-1142.573674932,1.6058112188565625
75,135,-1142.57325756,1.867715905142854
75,150,-1142.572880435,2.10436523683918
75,165,-1142.573028593,2.0113947584160594
75,180,-1142.573377606,1.792385959796197
75,195,-1142.573463532,1.7384666213927298
75,210,-1142.573278832,1.854367533749672
75,225,-1142.572014048,2.6480308767343095
75,240,-1142.572410388,2.3993239597044087
75,255,-1142.572258517,2.4946243790879423
75,270,-1142.571026008,3.2680348691183942
75,285,-1142.569533671,4.20448976761695
75,300,-1142.568212977,5.033237138872083
75,315,-1142.564196514,7.553603819520777
75,330,-1142.563362728,8.076812038693602
75,345,-1142.563051271,8.272254109276794
90,0,-1142.564324273,7.473433897220044
90,15,-1142.56502942,7.030947808420651
90,30,-1142.567311375,5.599000508360796
90,45,-1142.570365333,3.6826143777328255
90,60,-1142.572675784,2.23278558112057
90,75,-1142.573141641,1.940456120982245
90,90,-1142.572734469,2.1959602155275
90,105,-1142.573082319,1.9776812098614527
90,120,-1142.573207147,1.8993505163934854
90,135,-1142.572445671,2.3771835596647257
90,150,-1142.571957707,2.6833853613772014
90,165,-1142.572007216,2.6523180182560013
90,180,-1142.572195537,2.5341448958695145
90,195,-1142.572068338,2.6139634131368417
90,210,-1142.571710038,2.8387998878470344
90,225,-1142.5701824,3.7974064815705013
90,240,-1142.570957052,3.311305379691049
90,255,-1142.571474473,2.9866190453766444
90,270,-1142.57138337,3.0437869979033616
90,285,-1142.570664782,3.494707435149533
90,300,-1142.569582514,4.173840345493118
90,315,-1142.567474843,5.496422867159804
90,330,-1142.566401229,6.170125314689741
90,345,-1142.564988517,7.056614808984346
105,0,-1142.56473632,7.214870696262926
105,15,-1142.565296156,6.863568567823166
105,30,-1142.567371475,5.561287217363397
105,45,-1142.570129152,3.8308200808562534
105,60,-1142.572033413,2.6358791649047264
105,75,-1142.572167973,2.551441553940939
105,90,-1142.573252785,1.8707122606049384
105,105,-1142.572574304,2.2964651944481558
105,120,-1142.572797826,2.1562031277865374
105,135,-1142.572714811,2.208295787404516
105,150,-1142.571186797,3.167138324442331
105,165,-1142.571032458,3.2639874360679118
105,180,-1142.570951224,3.3149625021335307
105,195,-1142.570597112,3.537170969121547
105,210,-1142.57012428,3.8338773046183467
105,225,-1142.568288253,4.98600077141232
105,240,-1142.569281248,4.362887471999227
105,255,-1142.570262609,3.747074612133734
105,270,-1142.572692179,2.2224975711439794
105,285,-1142.571152196,3.1888507634468244
105,300,-1142.570828832,3.3917645837204513
105,315,-1142.569164054,4.436427761627899
105,330,-1142.566958235,5.820599036630604
105,345,-1142.565613338,6.664534008111684
120,0,-1142.56566548,6.63181443385965
120,15,-1142.566252265,6.263601565297241
120,30,-1142.569688098,4.107585435355314
120,45,-1142.570195557,3.7891503456498814
120,60,-1142.571726399,2.8285332130934933
120,75,-1142.571873712,2.7360929797323004
120,90,-1142.573309223,1.8352969076620378
120,105,-1142.573430422,1.759243444385205
120,120,-1142.573085696,1.9755621119781546
120,135,-1142.572866351,2.1132030735862783
120,150,-1142.571042994,3.2573760012497606
120,165,-1142.57065263,3.502332924488578
120,180,-1142.570277688,3.7376124039713785
120,195,-1142.569725452,4.08414546408025
120,210,-1142.570239771,3.761405662786939
120,225,-1142.56836342,4.93883280242361
120,240,-1142.568203342,5.039283188067895
120,255,-1142.572271538,2.486453584344879
120,270,-1142.572916471,2.0817523223830796
120,285,-1142.573299096,1.8416516913024767
120,300,-1142.57299934,2.0297512791089747
120,315,-1142.570437043,3.637615707244558
120,330,-1142.56785447,5.258203507998381
120,345,-1142.566087021,6.367293662538774
135,0,-1142.567429173,5.525081203166673
135,15,-1142.567226016,5.652564049071632
135,30,-1142.568577092,4.804751699392819
135,45,-1142.570607472,3.530669976003543
135,60,-1142.572138415,2.5699894649950115
135,75,-1142.572397396,2.4074765565935623
135,90,-1142.572163927,2.553980455328696
135,105,-1142.574505431,1.0846656217835735
135,120,-1142.573962079,1.4256238919656443
135,135,-1142.573542154,1.689130608765626
135,150,-1142.571498551,2.971509883659572
135,165,-1142.570884586,3.3567784469601465
135,180,-1142.570278022,3.73740281604167
135,195,-1142.56962131,4.14949550639258
135,210,-1142.569170987,4.432077241796742
135,225,-1142.57072773,3.4552069985862826
135,240,-1142.569100776,4.476135276254081
135,255,-1142.572824895,2.1392170866668323
135,270,-1142.57372564,1.5739914924110916
135,285,-1142.57431706,1.20287011957361
135,300,-1142.574074352,1.355171574000252
135,315,-1142.571339314,3.0714325343940643
135,330,-1142.568570077,4.809153674988526
135,345,-1142.566953461,5.823594764590324
150,0,-1142.56821786,5.030173012441309
150,15,-1142.567863958,5.252249702506129
150,30,-1142.569128361,4.458825440490337
150,45,-1142.571214294,3.1498837096
150,60,-1142.57287402,2.1083907070215693
150,75,-1142.573228953,1.8856670551710366
150,90,-1142.572930261,2.073098973328457
150,105,-1142.5754797,0.4733030559091985
150,120,-1142.574903106,0.8351209802518457
150,135,-1142.57424311,1.2492744101955002
150,150,-1142.572048016,2.6267156510064975
150,165,-1142.571259703,3.1213891534222418
150,180,-1142.570548601,3.5676120583203987
150,195,-1142.569922483,3.9605067383197032
150,210,-1142.569623333,4.148226055698701
150,225,-1142.571340127,3.0709223695504586
150,240,-1142.569874542,3.990590147318832
150,255,-1142.571798845,2.7830726960143517
150,270,-1142.574721961,0.9487910980206146
150,285,-1142.575326656,0.569339543270185
150,300,-1142.573792932,1.5317651567581527
150,315,-1142.57203535,2.634663679984854
150,330,-1142.569231707,4.393974895338749
150,345,-1142.567977024,5.181299770029765
165,0,-1142.568308757,4.973134326828333
165,15,-1142.569399365,4.288767991410852
165,30,-1142.569221053,4.4006603761492284
165,45,-1142.571423918,3.0183427629616943
165,60,-1142.573209221,1.8980490626510136
165,75,-1142.573587911,1.6604176794823868
165,90,-1142.573140657,1.9410735897288207
165,105,-1142.575428329,0.5055388207022667
165,120,-1142.574993061,0.7786734081434852
165,135,-1142.574233843,1.255089536095875
165,150,-1142.57191166,2.712280268200782
165,165,-1142.571035202,3.2622655513186167
165,180,-1142.570370978,3.679072089364359
165,195,-1142.569899797,3.9747424074721724
165,210,-1142.569809264,4.031552679799167
165,225,-1142.569633897,4.141597050671684
165,240,-1142.570335187,3.70153126402917
165,255,-1142.574148536,1.3086204463984328
165,270,-1142.57509094,0.7172534546554882
165,285,-1142.575590465,0.4037970214960101
165,300,-1142.573907582,1.4598212499792174
165,315,-1142.572069212,2.6134149702210046
165,330,-1142.56931572,4.341255981655743
165,345,-1142.568203156,5.03939990479168
180,0,-1142.567962453,5.190443203566993
180,15,-1142.567598296,5.418954998573576
180,30,-1142.569077019,4.491043007572175
180,45,-1142.571348462,3.0656920819883817
180,60,-1142.573188041,1.9113397032560062
180,75,-1142.573560272,1.6777614008018151
180,90,-1142.5729195,2.0798515977479415
180,105,-1142.573793756,1.5312480893885447
180,120,-1142.57357588,1.6679672403220123
180,135,-1142.572158769,2.5572171467643545
180,150,-1142.571057372,3.2483536768101864
180,165,-1142.570292403,3.728378609095005
180,180,-1142.569841909,4.011067648544817
180,195,-1142.569654905,4.128414341472024
180,210,-1142.570848369,3.3795049403428554
180,225,-1142.56990688,3.970297761287687
180,240,-1142.570444978,3.6326364233389192
180,255,-1142.574017646,1.3907550994314892
180,270,-1142.574752138,0.9298547590083117
180,285,-1142.573563301,1.6758606760239982
180,300,-1142.57331855,1.8294441311917957
180,315,-1142.571522941,2.956204939207475
180,330,-1142.568892447,4.6068635986277915
180,345,-1142.56782122,5.279068182177868
195,0,-1142.566834543,5.898216879851259
195,15,-1142.567200139,5.668802099383614
195,30,-1142.568770615,4.683314275181307
195,45,-1142.571091502,3.2269367947006797
195,60,-1142.573031809,2.009376689412093
195,75,-1142.573409633,1.7722887289977132
195,90,-1142.572359564,2.4312164771374802
195,105,-1142.571357466,3.0600419909218455
195,120,-1142.572470188,2.3617989215563466
195,135,-1142.570552042,3.565452799857778
195,150,-1142.57004636,3.882772805877626
195,165,-1142.569680264,4.11250134080881
195,180,-1142.56948497,4.235050083406364
195,195,-1142.569532207,4.205408440779787
195,210,-1142.570931785,3.327160649566075
195,225,-1142.569980183,3.924299468975573
195,240,-1142.570369213,3.680179642736219
195,255,-1142.573645174,1.6244846316675143
195,270,-1142.574120226,1.3263852260843692
195,285,-1142.572780354,2.167166964942936
195,300,-1142.572499879,2.343167551831809
195,315,-1142.570849991,3.3784871208077782
195,330,-1142.56831928,4.96653104968359
195,345,-1142.567186451,5.6773914426264085
210,0,-1142.566821205,5.906586594841166
210,15,-1142.56656128,6.069691871609279
210,30,-1142.566324506,6.218269687629477
210,45,-1142.570428826,3.6427719488143064
210,60,-1142.572458227,2.3693045566597872
210,75,-1142.572756965,2.181843772965593
210,90,-1142.571299164,3.096627020684021
210,105,-1142.56988988,3.9809654143320934
210,120,-1142.569146932,4.447171970816767
210,135,-1142.56869815,4.728786714805361
210,150,-1142.568928971,4.5839444598791985
210,165,-1142.56927708,4.365502929531447
210,180,-1142.570573178,3.552189769642152
210,195,-1142.569477036,4.240028739809638
210,210,-1142.570866323,3.3682386437654674
210,225,-1142.569696998,4.102000605248012
210,240,-1142.569903643,3.9723290078412945
210,255,-1142.573138142,1.9426517748673269
210,270,-1142.571691138,2.850659807938493
210,285,-1142.572022843,2.6425119350886064
210,300,-1142.57177789,2.7962221471606896
210,315,-1142.570287064,3.73172887959995
210,330,-1142.567780238,5.304784755999023
210,345,-1142.566545122,6.079831162098849
225,0,-1142.565639305,6.648239481873563
225,15,-1142.565774671,6.5632960985827165
225,30,-1142.567030004,5.775563343217511
225,45,-1142.569018911,4.527506300448975
225,60,-1142.57072482,3.4570330498694073
225,75,-1142.570999219,3.2848452077213968
225,90,-1142.569804991,4.034234025792985
225,105,-1142.56859048,4.796350608856682
225,120,-1142.567670075,5.373913029994166
225,135,-1142.567418836,5.531567763730309
225,150,-1142.567701939,5.353918083222421
225,165,-1142.5691838,4.424036968972149
225,180,-1142.56966967,4.119149171192101
225,195,-1142.569816295,4.0271406640229594
225,210,-1142.570965853,3.305782673031163
225,225,-1142.569234259,4.3923734923274225
225,240,-1142.572485864,2.3519620903450864
225,255,-1142.572985043,2.0387227752863617
225,270,-1142.573241033,1.8780867464302249
225,285,-1142.57182147,2.768875304934114
225,300,-1142.571650121,2.8763983446277397
225,315,-1142.568853508,4.6312981715651125
225,330,-1142.566842833,5.893014830180913
225,345,-1142.56616565,6.317953257395124
240,0,-1142.565239147,6.899342228325475
240,15,-1142.564600189,7.300294123998555
240,30,-1142.564758842,7.200737938639558
240,45,-1142.569954202,3.940602780389468
240,60,-1142.567352568,5.573151530114082
240,75,-1142.568053976,5.133011697336561
240,90,-1142.567953513,5.196053134054206
240,105,-1142.56869398,4.731403427342309
240,120,-1142.567414956,5.534002498584236
240,135,-1142.567495823,5.483257728311691
240,150,-1142.568069443,5.123306015688812
240,165,-1142.569264693,4.373275883495464
240,180,-1142.570576953,3.5498209231071436
240,195,-1142.570786162,3.4185403926607334
240,210,-1142.571656887,2.8721526186900985
240,225,-1142.572433317,2.384935805765378
240,240,-1142.573143312,1.9394075534033028
240,255,-1142.573669095,1.6094739888203182
240,270,-1142.573985203,1.4111133739242325
240,285,-1142.574077123,1.3534327465444542
240,300,-1142.571742956,2.8181435465925277
240,315,-1142.570075134,3.864716861955929
240,330,-1142.56762453,5.402492927349481
240,345,-1142.565635386,6.650698689747717
255,0,-1142.566462066,6.131949549599104
255,15,-1142.56143053,9.289283673381131
255,30,-1142.567416635,5.532948910986383
255,45,-1142.568289576,4.985170576938859
255,60,-1142.570890379,3.353143287243079
255,75,-1142.570858519,3.373135724005369
255,90,-1142.57093911,3.322564146240071
255,105,-1142.568110391,5.0976107772333865
255,120,-1142.56810112,5.103428413143217
255,135,-1142.570143319,3.82193016084224
255,150,-1142.570827714,3.3924661387825346
255,165,-1142.570066575,3.870087711474296
255,180,-1142.571685005,2.854508320599452
255,195,-1142.572031823,2.6368769042214812
255,210,-1142.572854896,2.1203911890693186
255,225,-1142.573775267,1.542850103297563
255,240,-1142.574560218,1.0502862862296594
255,255,-1142.573402769,1.776595950737727
255,270,-1142.575611827,0.39039217417668715
255,285,-1142.573733169,1.5692669771760737
255,300,-1142.573688461,1.5973216494883713
255,315,-1142.571652858,2.8746808523949916
255,330,-1142.568442043,4.889496162294142
255,345,-1142.565565571,6.694508230558073
270,0,-1142.566766131,5.941146025571009
270,15,-1142.565387715,6.806114471222277
270,30,-1142.565236547,6.9009737517356236
270,45,-1142.566621137,6.032131065398441
270,60,-1142.567852826,5.259235132728142
270,75,-1142.568841305,4.638955663952751
270,90,-1142.569127866,4.4591360574420555
270,105,-1142.568995881,4.541957832697469
270,120,-1142.570655388,3.5006022547061892
270,135,-1142.571321384,3.0826837707720407
270,150,-1142.572004328,2.6541302642017635
270,165,-1142.572369432,2.4250242183214246
270,180,-1142.572047215,2.6272182856790582
270,195,-1142.57231827,2.45712883369366
270,210,-1142.573267337,1.8615807496126238
270,225,-1142.574346411,1.184452102935643
270,240,-1142.575854163,0.23832415319761663
270,255,-1142.574890842,0.8428167505690363
270,270,-1142.575437379,0.4998598642416359
270,285,-1142.575978986,0.15999659724146864
270,300,-1142.575202311,0.6473671498147994
270,315,-1142.572607769,2.275465605833653
270,330,-1142.567613899,5.409163975605592
270,345,-1142.567971297,5.184893514020104
285,0,-1142.564094266,7.617765359800237
285,15,-1142.562009311,8.926093386815502
285,30,-1142.561667916,9.14032182191925
285,45,-1142.562767406,8.450381951579695
285,60,-1142.564815186,7.165381571489575
285,75,-1142.567129817,5.7129297873167335
285,90,-1142.569042117,4.512944326643012
285,105,-1142.571326936,3.0791998406941277
285,120,-1142.571715608,2.835304662726572
285,135,-1142.571881724,2.7310653777166087
285,150,-1142.570910313,3.3406345228588155
285,165,-1142.571743128,2.818035615044515
285,180,-1142.571675276,2.8606133557308593
285,195,-1142.573036403,2.0064939130192956
285,210,-1142.573516052,1.7055098486789408
285,225,-1142.574806886,0.8954998961892664
285,240,-1142.575853281,0.23887761613236444
285,255,-1142.574905845,0.8334022330143699
285,270,-1142.575557904,0.4242293419810817
285,285,-1142.576233957,0.0
285,300,-1142.574983752,0.7845148894284991
285,315,-1142.569452968,4.255131626503072
285,330,-1142.569936115,3.9519525356373206
285,345,-1142.567486235,5.489274284611044
300,0,-1142.558787688,10.947690814030596
300,15,-1142.556042086,12.670580779451427
300,30,-1142.555678594,12.898675280820326
300,45,-1142.557513742,11.74710339445401
300,60,-1142.562694242,8.496293020064481
300,75,-1142.565081025,6.998565206504974
300,90,-1142.568334793,4.956796502499069
300,105,-1142.569733613,4.079024363213593
300,120,-1142.569880627,3.9867717550566955
300,135,-1142.571307114,3.091638324100246
300,150,-1142.570977141,3.2986993514416376
300,165,-1142.57124205,3.132466569790607
300,180,-1142.57268525,2.22684558096568
300,195,-1142.572997641,2.0308174168967836
300,210,-1142.572823133,2.1403227575316
300,225,-1142.573987768,1.4095038132394972
300,240,-1142.574883911,0.8471660155381435
300,255,-1142.573214583,1.8946843594490208
300,270,-1142.574659849,0.9877669370432118
300,285,-1142.574496684,1.0901544430304542
300,300,-1142.574374277,1.1669659371528323
300,315,-1142.572177959,2.545175248989876
300,330,-1142.568252664,5.008333189172844
300,345,-1142.563521066,7.977453518576723
315,0,-1142.551057098,15.798705614301292
315,15,-1142.549034958,17.06761666356645
315,30,-1142.5496188,16.701250554007853
315,45,-1142.554399379,13.70139420629786
315,60,-1142.559432076,10.543331544566744
315,75,-1142.56464342,7.273166282379824
315,90,-1142.566520022,6.0955816379376815
315,105,-1142.567905214,5.226361191325133
315,120,-1142.568114297,5.095159727032641
315,135,-1142.568384983,4.925301825845043
315,150,-1142.569221053,4.4006603761492284
315,165,-1142.569014511,4.530267340099075
315,180,-1142.571241832,3.132603366732715
315,195,-1142.571241383,3.1328851182903388
315,210,-1142.570918536,3.335474516417563
315,225,-1142.572354705,2.4342655433688436
315,240,-1142.573323387,1.826408870155116
315,255,-1142.571494373,2.9741316163581097
315,270,-1142.571803414,2.7802056074660086
315,285,-1142.572898726,2.092887469682313
315,300,-1142.572282351,2.4796683295171165
315,315,-1142.568139588,5.079289396958204
315,330,-1142.561752395,9.087310489138433
315,345,-1142.555920153,12.747094834314405
330,0,-1142.545728068,19.142719900561513
330,15,-1142.543751871,20.382801303819647
330,30,-1142.547084279,18.291685292144088
330,45,-1142.551569981,15.476866915819272
330,60,-1142.55764812,11.662779990061873
330,75,-1142.562919532,8.354921517381234
330,90,-1142.563952288,7.706857832523261
330,105,-1142.566885292,5.866371425523512
330,120,-1142.567244872,5.640731739369541
330,135,-1142.566075866,6.374293525457835
330,150,-1142.566382598,6.181816434790498
330,165,-1142.568014607,5.157716099286592
330,180,-1142.568661709,4.75165377028704
330,195,-1142.568504506,4.850300067658972
330,210,-1142.568380085,4.928375364953954
330,225,-1142.570050722,3.8800356117453885
330,240,-1142.567785747,5.301327808950792
330,255,-1142.567990322,5.172955155277091
330,270,-1142.570106327,3.8451429736933704
330,285,-1142.570082784,3.859916418078812
330,300,-1142.567027941,5.776857894148622
330,315,-1142.560534988,9.851244338309483
330,330,-1142.554851529,13.417666011947242
330,345,-1142.549098015,17.02804782853215
345,0,-1142.541058551,22.07288384365875
345,15,-1142.542672714,21.059982033763543
345,30,-1142.545676713,19.17494562531676
345,45,-1142.551255705,15.674077934399763
345,60,-1142.557562137,11.716735096385438
345,75,-1142.561908463,8.98937641451145
345,90,-1142.564067659,7.63446149168891
345,105,-1142.565274162,6.877370000774128
345,120,-1142.565519764,6.723252535244862
345,135,-1142.564089335,7.620859606629835
345,150,-1142.564032429,7.656568633817951
345,165,-1142.566129292,6.340768229609887
345,180,-1142.566403539,6.168675768819933
345,195,-1142.566463349,6.131144455505554
345,210,-1142.566632599,6.024938557256175
345,225,-1142.568281092,4.9904943633519006
345,240,-1142.56525389,6.890090863240234
345,255,-1142.5674147,5.534163140901528
345,270,-1142.568514963,4.843738205955601
345,285,-1142.565417093,6.7876795118778075
345,300,-1142.561108613,9.491289488174784
345,315,-1142.554181202,13.83830223729767
345,330,-1142.549607362,16.708428001950708
345,345,-1142.544377011,19.990520327552733
360,0,-1142.540473878,22.439771413246184
360,15,-1142.54309795,20.79314261666748
360,30,-1142.54709178,18.286978347117937
360,45,-1142.553296559,14.393423681624252
360,60,-1142.558920122,10.86458728707488
360,75,-1142.562292946,8.748109871625754
360,90,-1142.564648411,7.2700343849803595
360,105,-1142.565518934,6.723773367771332
360,120,-1142.56527468,6.877044951125362
360,135,-1142.564604752,7.2974308004643955
360,150,-1142.564764675,7.197077678542579
360,165,-1142.565422735,6.784139106016433
360,180,-1142.5657767,6.562022882874654
360,195,-1142.56623977,6.271442290229948
360,210,-1142.566492437,6.112891473701425
360,225,-1142.568047782,5.13689848821243
360,240,-1142.568692485,4.732341553363783
360,255,-1142.566780758,5.93196745133069
360,270,-1142.566090661,6.365009529678959
360,285,-1142.562800631,8.429532964959304
360,300,-1142.557274036,11.897521066809338
360,315,-1142.550801856,15.958872266538188
360,330,-1142.546876629,18.4219875359897
360,345,-1142.541931027,21.525397301492028
